GDP_Category,Country,GDP_per_Capita,Happiness_Score,Avg_Happiness,Rank_Within_Category
High GDP,Brazil,1.45,6.98,5.49,1
High GDP,Finland,1.55,6.67,5.49,2
High GDP,Norway,1.39,6.25,5.49,3
High GDP,Australia,1.43,5.31,5.49,4
High GDP,India,1.41,4.45,5.49,5
High GDP,United States,1.39,4.44,5.49,6
High GDP,France,1.57,4.36,5.49,7
Low GDP,Canada,0.6,7.34,5.22,1
Low GDP,Switzerland,0.67,4.46,5.22,2
Low GDP,New Zealand,0.61,3.87,5.22,3
Medium GDP,Netherlands,0.87,6.41,4.93,1
Medium GDP,Japan,0.92,6.29,4.93,2
Medium GDP,China,1.18,6.03,4.93,3
Medium GDP,South Korea,1.11,5.84,4.93,4
Medium GDP,United Kingdom,1.3,5.67,4.93,5
Medium GDP,Iceland,0.87,4.68,4.93,6
Medium GDP,Sweden,1.16,3.63,4.93,7
Medium GDP,Denmark,1.27,3.61,4.93,8
Medium GDP,Germany,1.09,3.61,4.93,8
Medium GDP,South Africa,1.14,3.53,4.93,10
