User_ID,Age,Gender,Workouts_per_Week,Avg_Session_Duration_Min,Steps_per_Day,Subscription_Type,Churned,Cluster
1,56,Male,1,27.7,2055,Free,1,0
2,46,Female,6,68.6,10717,Free,0,2
3,32,Female,5,28.1,14761,Free,0,2
4,25,Male,6,64.2,14315,Free,0,2
5,38,Female,1,44.6,10150,Free,0,1
6,56,Female,6,19.3,4125,Free,0,3
7,36,Female,2,29.4,13479,Free,1,1
8,40,Female,1,64.9,2364,Free,1,0
9,28,Male,1,51.7,8809,Free,0,0
10,28,Male,1,43.8,6621,Premium,0,0
11,41,Female,0,11.7,7126,Premium,1,1
12,53,Female,0,65.8,7122,Free,1,1
13,57,Male,0,73.1,3646,Premium,1,0
14,41,Male,2,70.3,2918,Free,1,0
15,20,Female,5,35.8,4797,Premium,0,2
16,39,Male,6,50.7,8506,Free,0,2
17,19,Female,4,52.4,7870,Premium,0,2
18,41,Female,1,22.1,3531,Premium,1,0
19,47,Male,6,47.7,10172,Premium,0,3
20,55,Male,1,61.1,5345,Premium,0,0
21,19,Female,2,56.5,9673,Free,1,2
22,38,Female,1,28.3,8949,Free,0,1
23,50,Male,0,32.1,8882,Premium,0,1
24,29,Female,4,56.9,3906,Free,0,0
25,39,Male,3,54.5,5086,Premium,0,0
26,42,Female,1,11.2,10152,Free,0,1
27,44,Male,6,8.2,7750,Free,0,3
28,59,Male,0,43.9,14772,Free,0,1
29,45,Male,3,36.2,12267,Free,0,1
30,33,Female,4,40.5,10905,Premium,0,2
31,32,Female,3,38.8,3062,Free,0,0
32,20,Male,0,59.8,3976,Free,0,0
33,54,Female,5,46.6,3296,Free,0,3
34,24,Male,5,49.0,8229,Free,0,2
35,38,Male,3,24.9,9641,Premium,0,3
37,56,Female,6,61.9,6632,Free,0,3
38,35,Male,6,77.1,8288,Free,0,2
39,21,Female,3,39.9,5596,Premium,0,0
40,42,Female,1,48.7,13475,Free,0,1
41,31,Male,1,49.9,8168,Premium,0,0
42,26,Male,6,70.1,11795,Premium,0,2
43,43,Female,6,58.3,9561,Free,0,2
