Site,Date,Temperature,pH,DO
AV-1,2023-10-06,13.9,7.22,7.7
AV-1,2023-10-07,14.2,7.23,7.5
AV-1,2023-10-08,13.8,7.28,6.9
AV-1,2023-10-11,13.7,7.1,7.7
AV-1,2023-10-12,13.6,7.26,7.6
AV-1,2023-10-15,13.9,7.11,7.8
AV-1,2023-10-20,14.5,7.18,7.9
AV-1,2023-10-22,13.4,7.08,7.2
AV-1,2023-10-24,14.0,7.09,6.8
AV-1,2023-10-27,14.3,7.15,6.9
AV-1,2023-10-29,14.1,7.32,8.8
AV-1,2023-11-01,14.0,7.05,9.0
AV-1,2023-11-04,16.0,7.29,7.8
AV-1,2023-11-06,13.5,7.88,7.9
AV-1,2023-11-10,14.8,7.36,7.6
AV-1,2023-11-13,16.2,7.5,8.6
AV-1,2023-12-05,18.9,7.59,7.8
AV-1,2023-12-26,19.4,7.64,9.0
AV-1,2023-12-28,15.6,7.68,9.0
AV-2,2023-10-09,14.9,7.55,8.7
AV-2,2023-10-14,15.3,7.64,6.9
AV-2,2023-10-17,15.9,7.38,6.8
AV-2,2023-10-18,16.3,7.71,7.6
AV-2,2023-10-20,15.4,7.66,8.9
AV-2,2023-10-23,15.0,7.68,8.5
AV-2,2023-10-24,15.6,7.58,8.3
AV-2,2023-10-26,15.8,7.62,8.6
AV-2,2023-10-30,15.1,7.69,8.6
AV-2,2023-10-31,14.6,7.41,8.2
AV-2,2023-11-02,16.8,7.33,8.2
AV-2,2023-11-03,16.6,7.74,7.9
AV-2,2023-11-05,15.2,7.53,8.3
AV-2,2023-11-06,15.5,7.63,8.4
AV-2,2023-11-07,15.3,7.6,8.4
AV-2,2023-11-08,15.7,7.65,9.1
AV-2,2023-11-12,16.1,7.67,7.3
AV-2,2023-11-14,16.0,7.56,8.1
AV-2,2023-12-07,20.7,7.37,8.8
AV-2,2023-12-11,16.0,7.04,6.7
AV-2,2023-12-13,17.9,7.12,6.9
AV-2,2023-12-14,16.3,7.68,8.0
AV-2,2023-12-15,18.6,7.67,7.9
AV-2,2023-12-18,15.5,7.67,7.3
AV-2,2023-12-19,18.7,7.39,9.1
AV-3,2023-10-11,13.2,7.38,7.5
AV-3,2023-10-13,16.4,7.44,7.7
AV-3,2023-10-21,15.1,7.6,7.5
AV-3,2023-10-25,14.5,7.49,8.0
AV-3,2023-10-27,17.1,7.45,8.3
AV-3,2023-10-29,16.5,7.51,9.2
AV-3,2023-10-30,16.7,7.59,9.0
AV-3,2023-10-31,17.3,7.5,9.1
AV-3,2023-11-01,17.2,7.34,7.8
AV-3,2023-11-06,18.2,7.39,8.0
AV-3,2023-11-08,18.0,7.31,6.7
AV-3,2023-11-09,18.3,7.41,7.7
AV-3,2023-11-10,17.9,7.22,8.4
AV-3,2023-11-12,18.6,7.33,6.5
AV-3,2023-11-14,19.2,7.36,7.4
AV-3,2023-11-15,19.7,7.42,7.9
AV-3,2023-12-04,20.1,7.39,6.7
AV-3,2023-12-07,20.5,7.52,7.55
AV-3,2023-12-15,17.9,7.59,7.4
AV-3,2023-12-19,20.7,7.26,7.2
AV-3,2023-12-20,18.1,7.44,7.1
AV-3,2023-12-22,14.6,7.31,6.9
AV-3,2023-12-23,20.3,7.74,7.2
AV-3,2023-12-24,20.2,7.1,8.6
AV-3,2023-12-29,14.1,7.48,6.9
