Site,Date,Temperature,pH,DO,Species,Count,AvgSize,Cluster_raw,Cluster,Predicted_Count
AV-1,2023-10-06,13.9,7.22,7.7,Brown Trout,10,18.5,1,Moderate,10.7
AV-1,2023-10-07,14.2,7.23,7.5,Inanga,22,7.1,0,At-Risk,15.0
AV-1,2023-10-08,13.8,7.28,6.9,Shortfin Eel,3,38.8,1,Moderate,8.6
AV-1,2023-10-11,13.7,7.1,7.7,Inanga,20,7.5,0,At-Risk,10.0
AV-1,2023-10-12,13.6,7.26,7.6,Shortfin Eel,7,39.5,1,Moderate,10.8
AV-1,2023-10-15,13.9,7.11,7.8,Shortfin Eel,5,40.3,1,Moderate,8.3
AV-1,2023-10-20,14.5,7.18,7.9,Longfin Eel,4,42.5,1,Moderate,9.3
AV-1,2023-10-22,13.4,7.08,7.2,Shortfin Eel,4,40.0,1,Moderate,7.0
AV-1,2023-10-24,14.0,7.09,6.8,Longfin Eel,5,43.0,1,Moderate,6.9
AV-1,2023-10-27,14.3,7.15,6.9,Longfin Eel,6,40.7,1,Moderate,8.3
AV-1,2023-10-29,14.1,7.32,8.8,Brown Trout,13,17.8,2,Good,12.2
AV-1,2023-11-01,14.0,7.05,9.0,Longfin Eel,6,38.9,1,Moderate,8.2
AV-1,2023-11-04,16.0,7.29,7.8,Inanga,23,7.2,0,At-Risk,16.4
AV-1,2023-11-06,13.5,7.88,7.9,Brown Trout,12,18.3,2,Good,11.9
AV-1,2023-11-10,14.8,7.36,7.6,Inanga,27,7.8,0,At-Risk,19.5
AV-1,2023-11-13,16.2,7.5,8.6,Inanga,18,8.2,2,Good,15.5
AV-1,2023-12-05,18.9,7.59,7.8,Longfin Eel,10,41.7,1,Moderate,12.1
AV-1,2023-12-26,19.4,7.64,9.0,Inanga,15,6.9,2,Good,11.7
AV-1,2023-12-28,15.6,7.68,9.0,Brown Trout,3,16.9,2,Good,9.6
AV-2,2023-10-09,14.9,7.55,8.7,Longfin Eel,5,43.6,1,Moderate,13.3
AV-2,2023-10-14,15.3,7.64,6.9,Brown Trout,9,17.0,1,Moderate,12.4
AV-2,2023-10-17,15.9,7.38,6.8,Longfin Eel,3,41.9,1,Moderate,11.3
AV-2,2023-10-18,16.3,7.71,7.6,Shortfin Eel,8,39.7,1,Moderate,12.5
AV-2,2023-10-20,15.4,7.66,8.9,Brown Trout,11,18.1,2,Good,9.8
AV-2,2023-10-23,15.0,7.68,8.5,Inanga,21,7.7,2,Good,16.2
AV-2,2023-10-24,15.6,7.58,8.3,Unknown (possible Inanga),26,8.1,2,Good,18.8
AV-2,2023-10-26,15.8,7.62,8.6,Shortfin Eel,6,41.0,1,Moderate,9.8
AV-2,2023-10-30,15.1,7.69,8.6,Brown Trout,9,18.4,2,Good,12.2
AV-2,2023-10-31,14.6,7.41,8.2,Inanga,15,7.9,2,Good,16.3
AV-2,2023-11-02,16.8,7.33,8.2,Shortfin Eel,7,42.1,1,Moderate,15.9
AV-2,2023-11-03,16.6,7.74,7.9,Inanga,19,8.0,2,Good,13.0
AV-2,2023-11-05,15.2,7.53,8.3,Inanga,24,8.5,2,Good,19.9
AV-2,2023-11-06,15.5,7.63,8.4,Brown Trout,10,18.0,2,Good,14.5
AV-2,2023-11-07,15.3,7.6,8.4,Inanga,18,7.4,2,Good,17.0
AV-2,2023-11-08,15.7,7.65,9.1,Brown Trout,10,19.5,2,Good,9.1
AV-2,2023-11-12,16.1,7.67,7.3,Shortfin Eel,6,40.4,1,Moderate,10.6
AV-2,2023-11-14,16.0,7.56,8.1,Inanga,20,7.3,2,Good,17.8
AV-2,2023-12-07,20.7,7.37,8.8,Longfin Eel,11,44.9,1,Moderate,14.3
