Site,Date,Day,DO_Value,Trend_Value,Projection_Value,Type,Safe_Minimum
AV-1,2023-10-06,0,7.7,7.407,,Observed,7.0
AV-1,2023-10-07,1,7.5,7.424,,Observed,7.0
AV-1,2023-10-08,2,6.9,7.442,,Observed,7.0
AV-1,2023-10-11,5,7.7,7.495,,Observed,7.0
AV-1,2023-10-12,6,7.6,7.512,,Observed,7.0
AV-1,2023-10-15,9,7.8,7.565,,Observed,7.0
AV-1,2023-10-20,14,7.9,7.653,,Observed,7.0
AV-1,2023-10-22,16,7.2,7.688,,Observed,7.0
AV-1,2023-10-24,18,6.8,7.723,,Observed,7.0
AV-1,2023-10-27,21,6.9,7.776,,Observed,7.0
AV-1,2023-10-29,23,8.8,7.811,,Observed,7.0
AV-1,2023-11-01,26,9.0,7.864,,Observed,7.0
AV-1,2023-11-04,29,7.8,7.917,,Observed,7.0
AV-1,2023-11-06,31,7.9,7.952,,Observed,7.0
AV-1,2023-11-10,35,7.6,8.023,,Observed,7.0
AV-1,2023-11-13,38,8.6,8.075,,Observed,7.0
AV-1,2023-12-05,60,7.8,8.463,,Observed,7.0
AV-1,2023-12-26,81,9.0,8.832,,Observed,7.0
AV-1,2023-12-28,83,9.0,8.867,,Observed,7.0
AV-1,2023-12-28,83,,,8.867,Projection,7.0
AV-1,2023-12-29,84,,,8.885,Projection,7.0
AV-1,2023-12-30,85,,,8.902,Projection,7.0
AV-1,2023-12-31,86,,,8.92,Projection,7.0
AV-1,2024-01-01,87,,,8.938,Projection,7.0
AV-1,2024-01-02,88,,,8.955,Projection,7.0
AV-1,2024-01-03,89,,,8.973,Projection,7.0
AV-1,2024-01-04,90,,,8.991,Projection,7.0
AV-1,2024-01-05,91,,,9.008,Projection,7.0
AV-1,2024-01-06,92,,,9.026,Projection,7.0
AV-1,2024-01-07,93,,,9.043,Projection,7.0
AV-1,2024-01-08,94,,,9.061,Projection,7.0
AV-1,2024-01-09,95,,,9.079,Projection,7.0
AV-1,2024-01-10,96,,,9.096,Projection,7.0
AV-1,2024-01-11,97,,,9.114,Projection,7.0
AV-1,2024-01-12,98,,,9.131,Projection,7.0
AV-1,2024-01-13,99,,,9.149,Projection,7.0
AV-1,2024-01-14,100,,,9.167,Projection,7.0
AV-1,2024-01-15,101,,,9.184,Projection,7.0
AV-1,2024-01-16,102,,,9.202,Projection,7.0
AV-1,2024-01-17,103,,,9.219,Projection,7.0
AV-1,2024-01-18,104,,,9.237,Projection,7.0
AV-1,2024-01-19,105,,,9.255,Projection,7.0
AV-1,2024-01-20,106,,,9.272,Projection,7.0
AV-1,2024-01-21,107,,,9.29,Projection,7.0
AV-1,2024-01-22,108,,,9.307,Projection,7.0
AV-1,2024-01-23,109,,,9.325,Projection,7.0
AV-1,2024-01-24,110,,,9.343,Projection,7.0
AV-1,2024-01-25,111,,,9.36,Projection,7.0
AV-1,2024-01-26,112,,,9.378,Projection,7.0
AV-1,2024-01-27,113,,,9.395,Projection,7.0
AV-2,2023-10-09,0,8.7,8.207,,Observed,7.0
AV-2,2023-10-14,5,6.9,8.184,,Observed,7.0
AV-2,2023-10-17,8,6.8,8.171,,Observed,7.0
AV-2,2023-10-18,9,7.6,8.166,,Observed,7.0
AV-2,2023-10-20,11,8.9,8.157,,Observed,7.0
AV-2,2023-10-23,14,8.5,8.144,,Observed,7.0
AV-2,2023-10-24,15,8.3,8.139,,Observed,7.0
AV-2,2023-10-26,17,8.6,8.13,,Observed,7.0
AV-2,2023-10-30,21,8.6,8.112,,Observed,7.0
AV-2,2023-10-31,22,8.2,8.108,,Observed,7.0
AV-2,2023-11-02,24,8.2,8.099,,Observed,7.0
AV-2,2023-11-03,25,7.9,8.094,,Observed,7.0
AV-2,2023-11-05,27,8.3,8.085,,Observed,7.0
AV-2,2023-11-06,28,8.4,8.081,,Observed,7.0
AV-2,2023-11-07,29,8.4,8.076,,Observed,7.0
AV-2,2023-11-08,30,9.1,8.072,,Observed,7.0
AV-2,2023-11-12,34,7.3,8.054,,Observed,7.0
AV-2,2023-11-14,36,8.1,8.045,,Observed,7.0
AV-2,2023-12-07,59,8.8,7.941,,Observed,7.0
AV-2,2023-12-11,63,6.7,7.923,,Observed,7.0
AV-2,2023-12-13,65,6.9,7.914,,Observed,7.0
AV-2,2023-12-14,66,8.0,7.91,,Observed,7.0
AV-2,2023-12-15,67,7.9,7.905,,Observed,7.0
AV-2,2023-12-18,70,7.3,7.892,,Observed,7.0
AV-2,2023-12-19,71,9.1,7.887,,Observed,7.0
AV-2,2023-12-19,71,,,7.887,Projection,7.0
AV-2,2023-12-20,72,,,7.883,Projection,7.0
AV-2,2023-12-21,73,,,7.878,Projection,7.0
AV-2,2023-12-22,74,,,7.874,Projection,7.0
AV-2,2023-12-23,75,,,7.869,Projection,7.0
AV-2,2023-12-24,76,,,7.865,Projection,7.0
AV-2,2023-12-25,77,,,7.86,Projection,7.0
AV-2,2023-12-26,78,,,7.856,Projection,7.0
AV-2,2023-12-27,79,,,7.851,Projection,7.0
AV-2,2023-12-28,80,,,7.847,Projection,7.0
AV-2,2023-12-29,81,,,7.842,Projection,7.0
AV-2,2023-12-30,82,,,7.838,Projection,7.0
AV-2,2023-12-31,83,,,7.833,Projection,7.0
AV-2,2024-01-01,84,,,7.829,Projection,7.0
AV-2,2024-01-02,85,,,7.824,Projection,7.0
AV-2,2024-01-03,86,,,7.82,Projection,7.0
AV-2,2024-01-04,87,,,7.815,Projection,7.0
AV-2,2024-01-05,88,,,7.811,Projection,7.0
AV-2,2024-01-06,89,,,7.806,Projection,7.0
AV-2,2024-01-07,90,,,7.802,Projection,7.0
AV-2,2024-01-08,91,,,7.797,Projection,7.0
AV-2,2024-01-09,92,,,7.793,Projection,7.0
AV-2,2024-01-10,93,,,7.788,Projection,7.0
AV-2,2024-01-11,94,,,7.784,Projection,7.0
AV-2,2024-01-12,95,,,7.779,Projection,7.0
AV-2,2024-01-13,96,,,7.775,Projection,7.0
AV-2,2024-01-14,97,,,7.77,Projection,7.0
AV-2,2024-01-15,98,,,7.766,Projection,7.0
AV-2,2024-01-16,99,,,7.761,Projection,7.0
AV-2,2024-01-17,100,,,7.757,Projection,7.0
AV-2,2024-01-18,101,,,7.752,Projection,7.0
AV-3,2023-10-11,0,7.5,8.159,,Observed,7.0
AV-3,2023-10-13,2,7.7,8.134,,Observed,7.0
AV-3,2023-10-21,10,7.5,8.035,,Observed,7.0
AV-3,2023-10-25,14,8.0,7.986,,Observed,7.0
AV-3,2023-10-27,16,8.3,7.961,,Observed,7.0
